Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,Ch 11,Ch 21,Ch 31,Ch 41,Ch 51,Ch 61,Ch 71,Ch 81,Ch 91,Ch 101,Ch 111,Ch 121,Ch 12,Ch 22,Ch 32,Ch 42,Ch 52,Ch 62,Ch 72,Ch 82,Ch 92,Ch 102,Ch 112,Ch 122,cosine_similarity,class
35329,35328,3.69,0.0,0.0,1.0,0.0,1.0,0.0,1.77,9.93,7.37,3.53,7.23,14.66,9.57,2.69,4.21,4.27,4.54,3.63,1.11,8.0,7.9,6.45,4.72,11.89,11.23,3.87,2.25,4.77,8.28,5.99,0.955,non
12314,12313,25.79,28.29,0.0,0.0,1.0,1.0,0.0,0.36,3.78,2.06,2.06,2.53,3.44,3.23,1.45,2.0,2.78,2.79,1.45,0.39,3.44,1.77,3.2,2.89,4.56,3.43,1.12,1.93,2.9,2.95,1.12,0.984,non
33467,33466,1.5,0.0,0.0,0.0,0.0,1.0,0.0,2.78,6.39,7.9,5.7,6.75,7.63,5.58,5.13,5.7,4.9,4.53,3.74,0.0,8.47,3.83,3.14,4.38,11.55,6.67,1.62,2.55,3.35,5.17,1.32,0.883,non
35577,35576,0.97,1.58,0.0,0.0,1.0,1.0,0.0,1.1,2.89,1.13,0.91,1.2,3.23,2.14,0.0,0.0,1.1,1.71,0.0,0.0,5.52,2.14,4.36,2.64,7.11,5.22,1.06,1.88,3.18,4.09,1.41,0.941,non
22859,22858,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.87,3.85,2.92,2.83,3.19,6.25,6.43,0.93,3.24,5.99,4.47,2.09,0.0,3.83,1.08,1.46,1.08,5.66,2.37,0.0,2.37,2.54,2.37,2.54,0.91,non
18942,18941,1.06,0.0,0.0,0.0,1.0,1.0,0.0,1.88,8.61,2.51,4.11,0.72,7.22,1.6,1.03,0.0,0.0,2.2,0.0,0.85,6.38,5.04,2.32,3.25,9.41,4.64,3.67,2.66,4.3,7.54,2.15,0.811,non
13263,13262,1.97,0.0,0.0,0.0,1.0,1.0,0.0,2.41,7.21,7.89,7.01,5.68,11.04,7.97,2.76,1.88,5.12,8.38,3.36,2.27,9.1,5.69,5.02,4.24,12.41,8.59,4.78,5.44,6.29,9.49,1.93,0.967,non
31798,31797,13.67,15.61,0.0,0.0,1.0,1.0,0.0,1.57,5.19,4.53,4.0,5.11,10.44,4.66,2.29,1.92,5.04,4.62,2.88,1.03,8.84,5.32,6.52,6.9,11.25,9.7,2.69,5.02,6.83,6.69,2.63,0.969,non
6839,6838,0.7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.3,2.51,4.17,2.69,8.3,4.21,0.7,3.54,3.02,5.28,1.2,0.58,3.59,2.13,2.13,2.13,6.99,3.59,1.55,2.13,2.79,2.13,2.13,0.96,non
24499,24498,4.88,3.1,0.0,0.0,1.0,1.0,0.0,0.88,8.83,4.06,6.59,6.01,13.55,8.9,3.33,2.73,7.31,7.15,4.03,2.9,13.61,5.9,9.8,4.38,12.7,11.09,2.75,4.81,5.49,6.75,3.8,0.965,non
