Bug 1,Bug 2,Similarity,Class
11505,11504,5.656297660483588E-4,non
6387,6386,0.009521527183801315,non
23835,23834,0.0027573272476506087,non
24555,24554,1.0,non
21982,21981,1.0,non
34377,34376,0.031114399447359654,non
23583,23582,6.947659011453396E-4,non
22088,22087,0.0404452601850733,non
32232,32231,0.3695991652284633,non
21394,21393,0.018804109185353402,non
32055,32054,0.1372856780679309,non
23138,23137,0.016064608431793692,non
27815,27814,1.5112553429044893E-4,non
22047,22046,0.007773192101054658,non
22350,22349,8.867056109527821E-6,non
32226,32225,0.0024821460839298598,non
19730,19729,0.05848367053276528,non
26543,26542,5.512053272148811E-7,non
21834,21833,0.017347909684384277,non
24924,24923,0.0012460151841098828,non
31904,31903,0.0014021185581408033,non
24433,24432,1.812350343197434E-6,non
22827,22826,0.0011609645421523913,non
15822,15821,0.37761010375453674,non
33780,33779,0.4469820817548524,non
6466,6465,7.70840813173929E-8,non
30748,30747,7.77638254176495E-10,non
23541,23540,6.735410840759373E-5,non
15820,15819,6.0576835670974007E-5,non
25556,25555,0.02688880436606092,non
32060,32059,0.12260710340801338,non
15822,15821,0.37761010375453674,non
16189,16188,1.1436950606936988E-19,non
23587,23586,1.118039221149542E-7,non
33751,33750,0.00827866669666173,non
21412,21411,0.036452704102272436,non
20158,20157,8.86641579711347E-4,non
4914,4913,0.0018593974507147009,non
22255,22254,0.026888890077227126,non
23586,23585,3.0409233752300586E-18,non
12857,12856,0.02917311842047247,non
20544,20543,0.02131998210677042,non
32860,32859,6.856631230055532E-7,non
33623,33622,2.729439329999256E-5,non
33514,33513,0.007594913519651038,non
32055,32054,0.1372856780679309,non
23542,23541,0.19625811669441875,non
10238,10237,7.220593160317192E-6,non
24167,24166,8.454689564619508E-4,non
28205,28204,0.0010357578454273126,non
32860,32859,6.856631230055532E-7,non
19344,19343,3.824584714601594E-5,non
33684,33683,1.2328814928297272E-4,non
25741,25740,1.8436135855506876E-7,non
27189,27188,1.3811806740116562E-6,non
33903,33902,1.0,non
23542,23541,0.19625811669441875,non
6387,6386,0.009521527183801315,non
24408,24407,0.09999833833880413,non
24639,24638,0.47236655274101463,non
26788,26787,2.7558880114583842E-5,non
15809,15808,8.780419134370492E-12,non
37176,37175,1.0,non
