Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,01,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,291,301,311,321,331,341,02,12,22,32,42,52,62,72,82,92,102,112,122,132,142,152,162,172,182,192,202,212,222,232,242,252,262,272,282,292,302,312,322,332,342,cosine_similarity,class
37520,35759,2.7,0.0,0.0,0.0,1.0,1.0,0.0,0.72,0.0,0.35,0.0,0.0,0.0,1.61,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.81,0.0,0.35,0.94,0.72,0.45,1.38,0.59,0.0,1.86,0.15,1.31,0.59,0.79,0.0,2.35,0.45,0.72,0.0,1.16,1.59,0.6,0.34,3.08,0.0,1.55,0.94,0.0,0.79,0.0,0.49,0.16,0.0,0.3,1.26,2.48,0.0,0.64,0.14,3.65,1.22,0.4,0.74,1.25,0.72,0.09,0.82,0.15,0.15,0.16,1.05,1.64,0.63,0.75,0.541,dup
37520,35653,2.25,0.0,0.0,0.0,1.0,1.0,0.0,0.72,0.0,0.35,0.0,0.0,0.0,1.61,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.81,0.0,0.35,0.94,0.72,0.45,1.38,0.59,0.0,1.86,0.15,1.31,0.59,0.79,0.0,2.35,0.45,0.72,0.0,2.03,0.0,1.68,0.83,0.39,0.0,0.43,1.1,1.25,0.96,0.0,0.83,0.39,0.0,0.84,0.0,0.26,0.0,0.26,2.9,1.86,0.84,3.07,1.97,0.51,0.96,0.0,2.22,0.43,0.96,1.06,2.02,0.34,1.4,0.34,0.767,dup
37520,35414,2.36,0.0,0.0,0.0,1.0,1.0,0.0,0.72,0.0,0.35,0.0,0.0,0.0,1.61,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.81,0.0,0.35,0.94,0.72,0.45,1.38,0.59,0.0,1.86,0.15,1.31,0.59,0.79,0.0,2.35,0.45,0.72,0.0,1.13,0.5,1.65,0.0,0.0,0.0,2.05,0.41,0.6,1.78,0.5,0.0,0.71,0.0,0.0,0.32,0.32,0.0,0.5,0.41,2.35,1.11,2.58,2.56,0.0,0.92,0.62,0.92,1.09,0.0,0.68,1.83,0.32,1.43,0.0,0.753,dup
37520,34880,1.96,0.0,0.0,0.0,1.0,1.0,0.0,0.72,0.0,0.35,0.0,0.0,0.0,1.61,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.81,0.0,0.35,0.94,0.72,0.45,1.38,0.59,0.0,1.86,0.15,1.31,0.59,0.79,0.0,2.35,0.45,0.72,0.0,0.0,0.64,1.65,1.55,0.79,0.0,0.0,0.0,0.73,0.0,0.0,0.91,0.0,0.0,0.54,0.0,0.4,0.0,0.4,1.04,1.56,0.41,0.0,0.64,0.0,0.51,0.18,0.0,0.64,0.0,0.0,0.0,1.58,0.0,0.54,0.34,dup
37427,33788,23.89,16.89,0.0,1.0,1.0,1.0,0.0,0.0,0.33,0.52,0.38,0.0,0.0,0.38,0.0,0.0,0.0,0.43,0.24,0.0,0.0,0.0,0.99,0.38,1.07,0.0,0.52,0.62,0.89,0.52,0.0,0.24,0.33,0.39,0.0,0.24,0.61,0.0,0.49,0.0,0.93,0.0,0.0,1.07,0.0,0.43,0.0,0.0,0.43,0.25,0.0,0.44,0.55,0.16,0.0,0.0,0.0,0.59,0.43,0.38,0.0,0.0,0.59,0.84,0.0,0.0,0.16,0.82,0.35,0.65,0.16,0.16,0.0,0.0,0.0,1.43,0.0,0.738,dup
37198,37197,39.97,76.95,0.0,0.0,1.0,1.0,0.0,0.49,1.05,0.0,0.43,0.0,0.0,1.34,0.41,0.0,0.69,0.0,0.29,0.62,0.0,0.0,1.75,0.43,0.79,0.42,0.41,1.42,2.57,0.41,0.41,0.78,0.87,0.48,0.41,0.7,0.29,0.0,0.41,2.49,1.1,0.49,0.49,1.05,0.0,0.43,0.0,0.0,1.34,0.41,0.0,0.69,0.0,0.29,0.62,0.0,0.0,1.75,0.43,0.79,0.42,0.41,1.42,2.57,0.41,0.41,0.78,0.87,0.48,0.41,0.7,0.29,0.0,0.41,2.49,1.1,0.49,1.0,dup
37036,29439,8.53,6.41,0.0,1.0,0.0,1.0,0.0,0.42,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.75,0.0,1.02,0.0,0.43,0.0,0.0,1.03,1.82,0.42,0.0,0.0,0.64,0.43,1.56,0.0,1.29,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.94,0.0,0.0,0.0,0.84,0.0,1.43,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.84,0.443,dup
37019,37018,28.14,85.37,0.0,0.0,1.0,1.0,0.0,0.0,0.35,0.0,0.71,1.39,0.0,0.35,4.54,3.38,0.0,0.0,0.0,0.59,0.5,0.0,0.9,0.35,0.0,0.66,0.35,0.35,0.35,0.0,0.35,0.0,1.32,0.15,0.0,1.19,0.0,5.38,0.78,0.0,0.35,0.0,0.0,0.35,0.0,0.71,1.39,0.0,0.35,4.54,3.38,0.0,0.0,0.0,0.59,0.5,0.0,0.9,0.35,0.0,0.66,0.35,0.35,0.35,0.0,0.35,0.0,1.32,0.15,0.0,1.19,0.0,5.38,0.78,0.0,0.35,0.0,1.0,dup
36996,36995,66.17,124.56,0.0,0.0,1.0,1.0,0.2,0.4,0.2,0.2,0.41,0.12,0.0,0.07,0.14,0.17,0.0,0.0,0.34,1.54,0.24,0.08,0.33,0.15,0.38,0.62,0.0,0.15,0.48,0.0,0.5,0.0,0.88,1.28,0.26,0.0,0.0,0.37,0.08,0.83,0.19,0.48,0.36,0.4,0.27,0.42,0.15,0.0,0.11,0.21,0.15,0.24,0.34,0.36,1.55,0.21,0.07,0.54,0.29,0.34,0.83,0.05,0.48,2.16,0.0,0.7,0.05,0.9,1.28,0.31,0.05,0.23,0.37,0.12,0.8,0.26,0.43,0.875,dup
