Bug 1,Bug 2,01,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,291,301,311,321,331,341,02,12,22,32,42,52,62,72,82,92,102,112,122,132,142,152,162,172,182,192,202,212,222,232,242,252,262,272,282,292,302,312,322,332,342,cosine_similarity,class
37520,35759,0.72,0.0,0.35,0.0,0.0,0.0,1.61,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.81,0.0,0.35,0.94,0.72,0.45,1.38,0.59,0.0,1.86,0.15,1.31,0.59,0.79,0.0,2.35,0.45,0.72,0.0,1.16,1.59,0.6,0.34,3.08,0.0,1.55,0.94,0.0,0.79,0.0,0.49,0.16,0.0,0.3,1.26,2.48,0.0,0.64,0.14,3.65,1.22,0.4,0.74,1.25,0.72,0.09,0.82,0.15,0.15,0.16,1.05,1.64,0.63,0.75,0.541,dup
37520,35653,0.72,0.0,0.35,0.0,0.0,0.0,1.61,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.81,0.0,0.35,0.94,0.72,0.45,1.38,0.59,0.0,1.86,0.15,1.31,0.59,0.79,0.0,2.35,0.45,0.72,0.0,2.03,0.0,1.68,0.83,0.39,0.0,0.43,1.1,1.25,0.96,0.0,0.83,0.39,0.0,0.84,0.0,0.26,0.0,0.26,2.9,1.86,0.84,3.07,1.97,0.51,0.96,0.0,2.22,0.43,0.96,1.06,2.02,0.34,1.4,0.34,0.767,dup
37520,35414,0.72,0.0,0.35,0.0,0.0,0.0,1.61,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.81,0.0,0.35,0.94,0.72,0.45,1.38,0.59,0.0,1.86,0.15,1.31,0.59,0.79,0.0,2.35,0.45,0.72,0.0,1.13,0.5,1.65,0.0,0.0,0.0,2.05,0.41,0.6,1.78,0.5,0.0,0.71,0.0,0.0,0.32,0.32,0.0,0.5,0.41,2.35,1.11,2.58,2.56,0.0,0.92,0.62,0.92,1.09,0.0,0.68,1.83,0.32,1.43,0.0,0.753,dup
37520,34880,0.72,0.0,0.35,0.0,0.0,0.0,1.61,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.81,0.0,0.35,0.94,0.72,0.45,1.38,0.59,0.0,1.86,0.15,1.31,0.59,0.79,0.0,2.35,0.45,0.72,0.0,0.0,0.64,1.65,1.55,0.79,0.0,0.0,0.0,0.73,0.0,0.0,0.91,0.0,0.0,0.54,0.0,0.4,0.0,0.4,1.04,1.56,0.41,0.0,0.64,0.0,0.51,0.18,0.0,0.64,0.0,0.0,0.0,1.58,0.0,0.54,0.34,dup
37427,33788,0.0,0.33,0.52,0.38,0.0,0.0,0.38,0.0,0.0,0.0,0.43,0.24,0.0,0.0,0.0,0.99,0.38,1.07,0.0,0.52,0.62,0.89,0.52,0.0,0.24,0.33,0.39,0.0,0.24,0.61,0.0,0.49,0.0,0.93,0.0,0.0,1.07,0.0,0.43,0.0,0.0,0.43,0.25,0.0,0.44,0.55,0.16,0.0,0.0,0.0,0.59,0.43,0.38,0.0,0.0,0.59,0.84,0.0,0.0,0.16,0.82,0.35,0.65,0.16,0.16,0.0,0.0,0.0,1.43,0.0,0.738,dup
37198,37197,0.49,1.05,0.0,0.43,0.0,0.0,1.34,0.41,0.0,0.69,0.0,0.29,0.62,0.0,0.0,1.75,0.43,0.79,0.42,0.41,1.42,2.57,0.41,0.41,0.78,0.87,0.48,0.41,0.7,0.29,0.0,0.41,2.49,1.1,0.49,0.49,1.05,0.0,0.43,0.0,0.0,1.34,0.41,0.0,0.69,0.0,0.29,0.62,0.0,0.0,1.75,0.43,0.79,0.42,0.41,1.42,2.57,0.41,0.41,0.78,0.87,0.48,0.41,0.7,0.29,0.0,0.41,2.49,1.1,0.49,1.0,dup
37036,29439,0.42,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.75,0.0,1.02,0.0,0.43,0.0,0.0,1.03,1.82,0.42,0.0,0.0,0.64,0.43,1.56,0.0,1.29,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.94,0.0,0.0,0.0,0.84,0.0,1.43,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.84,0.443,dup
37019,37018,0.0,0.35,0.0,0.71,1.39,0.0,0.35,4.54,3.38,0.0,0.0,0.0,0.59,0.5,0.0,0.9,0.35,0.0,0.66,0.35,0.35,0.35,0.0,0.35,0.0,1.32,0.15,0.0,1.19,0.0,5.38,0.78,0.0,0.35,0.0,0.0,0.35,0.0,0.71,1.39,0.0,0.35,4.54,3.38,0.0,0.0,0.0,0.59,0.5,0.0,0.9,0.35,0.0,0.66,0.35,0.35,0.35,0.0,0.35,0.0,1.32,0.15,0.0,1.19,0.0,5.38,0.78,0.0,0.35,0.0,1.0,dup
36996,36995,0.4,0.2,0.2,0.41,0.12,0.0,0.07,0.14,0.17,0.0,0.0,0.34,1.54,0.24,0.08,0.33,0.15,0.38,0.62,0.0,0.15,0.48,0.0,0.5,0.0,0.88,1.28,0.26,0.0,0.0,0.37,0.08,0.83,0.19,0.48,0.36,0.4,0.27,0.42,0.15,0.0,0.11,0.21,0.15,0.24,0.34,0.36,1.55,0.21,0.07,0.54,0.29,0.34,0.83,0.05,0.48,2.16,0.0,0.7,0.05,0.9,1.28,0.31,0.05,0.23,0.37,0.12,0.8,0.26,0.43,0.875,dup
36952,36829,0.0,0.0,0.76,0.31,0.0,0.0,0.31,0.0,0.0,0.0,0.48,0.18,0.0,0.0,0.0,0.49,0.48,0.59,0.17,0.76,0.49,0.86,1.07,0.0,0.18,0.0,0.46,0.0,0.18,0.18,0.0,0.0,0.0,0.31,0.0,0.0,0.27,0.6,0.37,0.44,0.27,0.37,0.0,0.0,0.0,0.0,0.12,0.28,0.77,0.16,0.7,0.65,1.55,0.29,0.44,0.66,1.74,0.71,0.0,0.12,0.55,1.12,0.0,0.12,0.12,0.0,0.0,0.16,0.84,0.44,0.794,dup
36903,34933,0.0,0.09,0.44,0.09,0.0,0.0,0.0,0.0,1.23,0.36,0.0,0.06,0.0,0.0,0.07,0.06,0.0,0.0,0.0,0.09,0.13,0.26,0.0,0.09,0.66,0.09,2.66,0.0,0.15,0.06,0.11,0.09,0.63,0.0,0.32,0.74,0.99,0.11,0.0,0.15,0.99,0.15,0.0,0.74,0.12,0.12,0.0,0.0,0.0,0.25,0.0,0.03,0.42,0.1,0.5,0.2,0.39,0.32,0.08,0.0,0.07,2.48,0.12,0.17,0.64,0.0,0.12,0.21,0.12,0.08,0.787,dup
36854,35422,0.0,0.0,0.0,0.33,1.35,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.33,1.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,1.16,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.66,0.0,1.59,0.62,0.36,0.79,0.0,0.36,0.0,0.42,0.2,0.2,0.49,0.34,0.0,0.0,0.76,0.94,0.81,0.68,1.01,0.79,1.27,0.75,0.2,0.22,0.44,1.27,0.0,0.22,0.58,0.0,0.18,0.18,0.69,0.42,0.55,dup
36854,34686,0.0,0.0,0.0,0.33,1.35,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.33,1.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,1.16,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.66,0.26,0.46,0.0,0.31,1.0,0.0,0.98,0.73,0.0,0.26,0.38,0.18,0.0,0.89,0.26,0.79,0.31,0.36,0.55,0.29,0.49,1.21,1.71,0.29,0.86,0.96,0.0,0.29,0.47,0.63,0.0,0.29,0.36,0.67,0.42,0.486,dup
36771,36362,1.17,0.28,0.09,0.11,0.29,0.0,0.49,0.16,0.11,0.71,0.0,0.07,0.23,0.19,0.31,0.49,0.0,0.14,0.0,0.79,0.37,0.37,0.42,0.53,0.56,0.11,1.8,0.0,0.18,1.46,0.14,0.11,0.73,0.0,0.09,0.82,0.0,0.4,0.0,0.0,0.0,0.82,0.0,0.64,1.82,0.0,0.46,0.58,0.0,0.98,1.27,0.0,0.0,0.0,0.0,0.86,0.82,0.0,0.0,4.29,1.96,0.16,0.0,0.46,0.46,0.73,0.64,1.3,0.0,1.33,0.478,dup
36704,34917,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,1.86,2.3,1.99,0.0,0.0,0.0,0.56,0.0,0.0,0.0,1.16,1.69,0.56,0.56,2.6,1.04,2.56,1.14,0.0,1.92,0.0,0.9,1.41,0.48,0.56,1.08,0.56,0.0,0.93,0.38,0.0,0.38,0.0,0.7,1.55,3.19,0.0,1.39,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.38,3.66,0.7,0.0,1.31,0.14,0.7,0.7,0.0,0.38,0.7,0.0,0.38,0.0,0.635,dup
36704,16260,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,1.86,2.3,1.99,0.0,0.0,0.0,0.56,0.0,0.0,0.0,1.16,1.69,0.56,0.56,2.6,1.04,2.56,1.14,0.0,1.92,0.0,0.9,1.41,0.48,0.56,1.08,0.56,0.44,0.0,2.69,0.0,0.25,0.49,0.0,0.0,1.18,0.0,4.44,0.0,0.76,0.0,0.0,0.66,0.5,0.0,1.14,1.74,0.0,1.82,1.99,0.0,0.0,0.53,0.13,0.0,0.0,0.44,0.25,0.28,0.28,0.25,1.36,0.653,dup
36704,5300,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,1.86,2.3,1.99,0.0,0.0,0.0,0.56,0.0,0.0,0.0,1.16,1.69,0.56,0.56,2.6,1.04,2.56,1.14,0.0,1.92,0.0,0.9,1.41,0.48,0.56,1.08,0.56,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.01,1.46,0.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.96,0.9,0.586,dup
36702,35789,0.0,0.62,0.61,0.62,0.28,0.52,0.0,0.0,1.56,0.0,1.73,0.0,1.97,0.0,0.84,0.69,0.58,1.19,0.51,3.56,0.33,0.28,0.0,1.13,0.0,1.27,0.1,2.5,0.62,0.0,0.76,0.42,0.85,0.28,0.91,0.0,0.88,0.67,0.29,0.28,0.0,0.29,0.38,0.0,0.93,1.4,0.25,0.67,0.0,0.0,1.28,0.99,0.0,1.39,0.39,1.52,8.37,0.0,0.98,0.25,0.59,0.14,0.38,0.25,1.08,0.28,0.32,1.99,0.56,0.0,0.281,dup
36634,36072,0.63,0.5,0.0,0.23,0.0,0.0,0.23,0.0,0.0,0.53,0.0,0.29,0.0,0.46,0.0,0.77,0.47,0.0,0.0,0.58,0.52,0.77,0.0,0.0,0.29,1.62,0.59,1.18,0.29,0.79,0.0,0.25,0.25,0.23,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.68,0.0,0.0,0.0,0.75,0.54,0.29,0.21,0.44,0.4,0.72,0.92,0.0,0.59,1.39,2.53,0.0,0.14,2.25,0.42,0.0,0.54,0.0,0.0,0.689,dup
36634,32849,0.63,0.5,0.0,0.23,0.0,0.0,0.23,0.0,0.0,0.53,0.0,0.29,0.0,0.46,0.0,0.77,0.47,0.0,0.0,0.58,0.52,0.77,0.0,0.0,0.29,1.62,0.59,1.18,0.29,0.79,0.0,0.25,0.25,0.23,0.0,1.03,0.0,0.17,0.38,0.64,0.29,1.55,0.25,0.0,1.63,0.73,0.15,0.17,0.42,0.0,1.24,0.38,0.35,0.0,0.71,0.53,0.69,1.08,0.25,1.54,0.17,1.19,0.79,0.4,1.32,0.17,0.25,0.0,1.18,0.4,0.639,dup
36630,36624,0.0,0.0,1.32,0.0,0.0,0.5,0.48,0.0,0.0,0.0,0.48,0.0,0.6,0.0,1.23,0.55,0.0,2.11,1.09,0.7,0.62,0.31,2.91,0.0,0.0,0.0,0.96,0.0,0.0,0.55,0.0,0.0,0.62,0.0,0.62,0.0,0.31,1.09,0.42,0.0,0.0,0.42,0.39,0.0,0.37,0.0,0.22,0.0,0.0,0.89,0.88,0.42,1.12,0.6,0.48,1.25,2.29,0.87,0.28,0.22,0.62,0.37,0.0,0.22,0.22,0.0,0.0,0.61,0.94,0.61,0.645,dup
36536,35171,0.0,0.0,0.84,0.0,1.81,0.0,2.21,0.0,0.0,0.0,0.75,0.0,0.48,0.0,0.36,0.0,0.0,0.0,0.75,0.0,0.36,0.48,0.0,0.0,0.0,0.48,1.4,0.0,0.0,0.0,0.48,0.0,0.36,0.48,0.36,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.8,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.332,dup
36521,26984,0.73,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.47,0.47,0.0,0.0,0.73,0.0,0.47,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.73,0.0,1.76,0.47,0.0,0.0,0.4,0.34,0.0,0.34,1.69,0.0,0.34,0.34,0.0,1.22,0.0,0.0,0.84,0.79,0.76,0.26,0.26,1.07,0.0,1.08,0.0,0.26,0.9,0.67,0.0,0.26,1.96,0.34,0.67,1.62,0.0,0.59,0.67,0.0,0.0,0.557,dup
36490,36450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.58,0.0,0.46,0.0,1.01,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.76,0.0,0.0,0.92,0.0,0.0,0.6,0.0,0.7,0.74,dup
36405,34861,0.7,1.77,6.21,1.38,0.9,0.0,0.63,0.76,2.16,1.23,3.94,0.15,1.5,1.08,0.42,1.16,0.35,0.0,0.49,3.24,1.51,1.04,0.59,0.73,0.37,0.25,0.1,1.24,1.53,0.87,0.93,1.89,1.19,0.82,3.32,0.0,0.63,3.52,0.0,0.0,0.0,0.0,0.63,1.57,0.0,4.26,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.69,1.23,0.54,0.63,0.0,0.0,0.0,0.55,0.0,0.63,1.03,0.0,0.78,0.55,0.54,0.0,1.6,0.878,dup
36405,34306,0.7,1.77,6.21,1.38,0.9,0.0,0.63,0.76,2.16,1.23,3.94,0.15,1.5,1.08,0.42,1.16,0.35,0.0,0.49,3.24,1.51,1.04,0.59,0.73,0.37,0.25,0.1,1.24,1.53,0.87,0.93,1.89,1.19,0.82,3.32,0.0,0.47,4.42,0.0,0.34,0.63,0.0,0.47,2.27,0.0,4.22,0.0,0.97,0.82,0.0,0.0,0.0,0.0,0.81,1.25,0.0,1.18,0.0,0.0,1.05,0.34,0.13,0.47,0.94,0.0,0.34,0.0,0.0,0.34,1.04,0.857,dup
36390,36389,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,dup
36382,36381,0.0,0.0,0.33,0.35,0.33,0.0,0.35,0.0,0.0,0.0,0.0,0.3,0.33,0.92,3.02,1.16,0.35,0.7,1.74,0.0,0.65,4.53,0.0,0.46,0.3,0.33,0.15,0.0,1.22,0.3,1.09,0.0,0.0,0.68,0.0,0.0,0.88,0.52,0.29,0.28,0.0,0.29,0.38,0.0,0.93,1.4,0.25,0.67,0.0,3.02,1.28,0.85,0.0,2.41,0.24,1.52,8.37,0.0,1.44,0.25,0.59,0.16,0.38,1.17,1.08,1.04,0.32,0.32,0.56,0.0,0.924,dup
36339,34096,0.15,0.25,0.35,0.0,0.48,0.73,1.44,0.13,0.0,0.26,0.16,0.41,0.0,0.0,0.35,0.0,0.84,0.0,0.0,0.5,0.59,0.25,1.2,0.13,2.16,0.41,0.59,0.13,0.13,0.0,0.0,0.13,0.5,0.48,0.91,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.62,0.337,dup
36204,36025,0.39,0.39,1.18,0.0,1.03,0.54,0.44,1.13,3.72,1.25,2.56,0.0,1.49,0.0,2.16,0.47,0.0,0.0,2.74,0.44,2.12,0.68,0.44,1.35,0.39,0.99,0.11,0.44,0.44,0.0,0.99,1.87,0.47,0.92,1.53,0.53,0.25,3.21,0.0,0.32,0.0,0.2,1.19,3.13,0.0,4.52,0.0,0.57,0.24,0.45,0.73,0.56,0.43,0.93,1.13,0.13,0.53,0.0,0.33,0.2,0.93,0.33,1.47,0.4,0.0,1.03,0.68,1.34,0.32,1.48,0.754,dup
36195,21205,0.0,0.44,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.44,0.81,0.0,1.48,0.44,0.0,0.68,0.76,0.0,0.44,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.49,0.15,0.36,0.0,0.0,0.36,0.55,0.0,0.0,0.21,0.19,0.0,0.0,0.38,1.04,0.51,0.27,0.23,0.0,0.71,0.7,0.0,0.23,0.19,0.15,0.33,0.0,0.19,0.69,0.55,0.15,0.64,1.68,0.15,0.419,dup
36172,35616,0.0,0.44,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.6,0.0,0.0,0.0,0.0,0.99,0.44,0.77,0.39,0.0,0.99,0.6,0.0,0.0,0.6,0.11,0.0,0.0,1.05,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.42,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.28,0.97,0.33,0.42,0.42,0.28,0.57,0.4,0.0,0.13,0.4,0.38,0.0,0.13,0.13,0.0,0.0,0.0,0.58,0.0,0.739,dup
36146,36145,0.63,0.0,0.28,0.4,0.28,0.0,0.4,0.0,0.0,0.63,0.0,0.26,0.87,0.0,0.63,1.1,0.99,0.0,0.51,0.0,0.66,4.52,0.0,0.0,0.89,0.87,0.18,0.0,0.26,0.26,1.4,0.0,0.0,1.41,0.59,0.69,0.0,0.28,0.4,0.28,0.0,0.4,0.0,0.0,0.69,0.0,0.26,0.87,0.0,0.69,1.1,0.99,0.0,0.51,0.0,0.66,4.52,0.0,0.0,0.95,0.87,0.18,0.0,0.26,0.26,0.28,0.0,0.0,1.41,0.59,0.98,dup
36143,34451,0.52,0.0,0.0,0.0,0.84,0.51,0.51,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.33,0.83,0.0,0.0,0.0,0.52,1.03,0.5,0.0,0.51,0.83,0.77,0.52,0.0,0.0,0.0,0.85,0.33,1.04,0.0,0.0,2.52,0.0,0.21,0.59,0.0,0.21,0.0,0.0,0.5,0.0,0.54,0.0,0.0,0.0,0.4,0.56,0.0,0.0,0.0,1.57,1.0,0.86,0.93,0.19,0.35,0.33,0.0,0.19,1.03,0.0,0.0,0.52,0.78,0.0,0.493,dup
